n_block,data_size,seed,model,loss,symmetry_error,n_params
2,1000,1,shared_aug,0.18602970242500305,0.0,651
2,1000,2,vanilla,0.07350120693445206,0.032062940299510956,1297
2,1000,2,shared,0.044358931481838226,0.0,651
2,1000,2,vanilla_aug,0.08565620332956314,0.0411817841231823,1297
2,1000,2,shared_aug,0.17765240371227264,0.0,651
2,1000,3,vanilla,0.058591052889823914,0.05569425970315933,1297
2,1000,3,shared,0.05564781278371811,0.0,651
2,1000,3,vanilla_aug,0.02639077603816986,0.009111426770687103,1297
2,1000,3,shared_aug,0.21140338480472565,0.0,651
2,1000,4,vanilla,0.2115669995546341,0.04144933074712753,1297
2,1000,4,shared,0.2192966490983963,0.0,651
2,1000,4,vanilla_aug,0.11243320256471634,0.01083789486438036,1297
2,1000,4,shared_aug,0.1985531747341156,0.0,651
2,5000,0,vanilla,0.10547518730163574,0.010470876470208168,1297
2,5000,0,shared,0.06035418435931206,0.0,651
2,5000,0,vanilla_aug,0.047946467995643616,0.006810616701841354,1297
2,5000,0,shared_aug,0.029139360412955284,0.0,651
2,5000,1,vanilla,0.09060434252023697,0.018287217244505882,1297
2,5000,1,shared,0.06763802468776703,0.0,651
2,5000,1,vanilla_aug,0.06876137107610703,0.008034136146306992,1297
2,5000,1,shared_aug,0.07421956211328506,0.0,651
2,5000,2,vanilla,0.05525723844766617,0.030327171087265015,1297
2,5000,2,shared,0.06786391884088516,0.0,651
2,5000,2,vanilla_aug,0.06368102133274078,0.014761647209525108,1297
2,5000,2,shared_aug,0.038886573165655136,0.0,651
2,5000,3,vanilla,0.037073180079460144,0.01464592944830656,1297
2,5000,3,shared,0.04680347442626953,0.0,651
2,5000,3,vanilla_aug,0.042696401476860046,0.02321714535355568,1297
2,5000,3,shared_aug,0.02691095694899559,0.0,651
2,5000,4,vanilla,0.03577788546681404,0.030328279361128807,1297
2,5000,4,shared,0.12482504546642303,0.0,651
2,5000,4,vanilla_aug,0.044168174266815186,0.009887037798762321,1297
2,5000,4,shared_aug,0.09596046805381775,0.0,651
2,10000,0,vanilla,0.0965423732995987,0.017945602536201477,1297
2,10000,0,shared,0.05061952769756317,0.0,651
2,10000,0,vanilla_aug,0.05835738033056259,0.01059970073401928,1297
2,10000,0,shared_aug,0.03602313995361328,0.0,651
2,10000,1,vanilla,0.0677579939365387,0.017159778624773026,1297
2,10000,1,shared,0.030723968520760536,0.0,651
2,10000,1,vanilla_aug,0.024361180141568184,0.005639909766614437,1297
2,10000,1,shared_aug,0.03967302665114403,0.0,651
2,10000,2,vanilla,0.032436665147542953,0.028765473514795303,1297
2,10000,2,shared,0.0440639965236187,0.0,651
2,10000,2,vanilla_aug,0.03107641264796257,0.012028483673930168,1297
2,10000,2,shared_aug,0.022777408361434937,0.0,651
2,10000,3,vanilla,0.023406628519296646,0.014768046326935291,1297
2,10000,3,shared,0.03589346259832382,0.0,651
2,10000,3,vanilla_aug,0.040694016963243484,0.014290213584899902,1297
2,10000,3,shared_aug,0.046455901116132736,0.0,651
2,10000,4,vanilla,0.03207573667168617,0.013957567512989044,1297
2,10000,4,shared,0.06245873495936394,0.0,651
2,10000,4,vanilla_aug,0.023925483226776123,0.023187315091490746,1297
2,10000,4,shared_aug,0.016726283356547356,0.0,651
5,50,0,vanilla,12.050962448120117,5.846308708190918,7801
5,50,0,shared,199.8861541748047,9.947596225410682e-16,651
5,50,0,vanilla_aug,12.1510591506958,0.585096001625061,7801
5,50,0,shared_aug,1.688187837600708,1.5827479951657786e-11,651
5,50,1,vanilla,5.737122535705566,2.1021950244903564,7801
5,50,1,shared,0.6477474570274353,8.093845147057188e-13,651
5,50,1,vanilla_aug,1.1379057168960571,0.9583920240402222,7801
5,50,1,shared_aug,1.6107616424560547,3.777955866982735e-13,651
5,50,2,vanilla,8.053128242492676,8.573504447937012,7801
5,50,2,shared,7.382881164550781,3.769013746934835e-12,651
5,50,2,vanilla_aug,9.658101081848145,0.966724693775177,7801
5,50,2,shared_aug,4.9640021324157715,7.488039702185922e-12,651
5,50,3,vanilla,10.601540565490723,3.145230531692505,7801
5,50,3,shared,3.335355758666992,9.924149176054886e-13,651
5,50,3,vanilla_aug,10.476396560668945,0.43114566802978516,7801
5,50,3,shared_aug,4.396655559539795,1.8357581080263863e-12,651
5,50,4,vanilla,3.0768961906433105,5.052913188934326,7801
